0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,relative_runtime
0.35058764,0.5367142,-0.107370585,0.69022137,0.43873367,0.6499451,1.6054919,-0.67425346,1.3173909,1.2355422,0.73576087,-0.36695164,-1.21086,0.24777912,-1.1382445,-0.20591608,-0.51688576,0.30974773,-1.1023986,-0.6741676,-0.38430268,-0.328934,0.42004964,1.942039,0.5489995,0.23933381,0.20301196,0.82685536,-0.28352657,1.1048511,0.08474229,0.5522274,0.52543044,-0.84446466,-1.5270452,-1.7564331,-0.50612,0.77982056,-0.07792249,-0.71603024,0.6795419,0.4126597,0.8551695,-0.052222855,-1.8624628,-1.2225533,0.73095167,0.7798804,-1.1291969,0.5862113,1.0932881,4284309500.0,18874522000.0,6271569000.0,55572780000.0,468293920.0,1929596900.0,783310340.0,159915410.0,1861.0679,362272200.0,704925.75,37931.39,2107510.8,995323300.0,0.2835556
0.35058793,0.5367143,-0.10737039,0.69022185,0.43873408,0.6499452,1.6054924,-0.6742531,1.3173915,1.2350427,0.7357611,-0.36695158,-1.2108597,0.24777949,-1.1382442,-0.2059155,-0.5168853,0.30974805,-1.1023984,-0.67416716,-0.38430232,-0.3289334,0.42005017,1.9420396,0.54899985,0.239334,0.20301214,0.8268558,-0.28352576,1.1048514,0.084742665,0.5522276,0.52543056,-0.8444643,-1.5270444,-1.7564327,-0.50611895,0.779821,-0.07792194,-0.7160296,0.67954236,0.41266,0.85516965,-0.052222706,-1.8624622,-1.2225528,0.73095185,0.7798806,-1.1291966,0.5862121,1.0935119,4285882600.0,18868267000.0,6270099500.0,55565513000.0,468310750.0,1928760400.0,783084500.0,159962020.0,1861.396,362331550.0,705106.0,37931.69,2107513.2,995894900.0,0.2837459
0.35058823,0.53671443,-0.1073702,0.6902223,0.43873453,0.6499453,1.6054927,-0.6742527,1.3173922,1.2345358,0.73576134,-0.36695153,-1.2108593,0.24777986,-1.1382437,-0.2059149,-0.5168848,0.30974838,-1.1023982,-0.67416674,-0.38430193,-0.32893276,0.42005074,1.9420402,0.54900014,0.23933423,0.20301232,0.82685614,-0.28352496,1.1048516,0.084743045,0.55222785,0.5254306,-0.844464,-1.5270435,-1.7564322,-0.5061179,0.77982134,-0.07792138,-0.7160289,0.6795429,0.41266027,0.85516983,-0.052222554,-1.8624616,-1.2225523,0.730952,0.77988076,-1.1291963,0.58621293,1.0937389,4287474200.0,18861924000.0,6268608000.0,55558140000.0,468327550.0,1927913100.0,782855550.0,160009310.0,1861.728,362391460.0,705289.0,37931.996,2107515.8,996475260.0,0.28393888
0.35058853,0.53671455,-0.10736999,0.6902228,0.43873495,0.64994544,1.6054932,-0.6742523,1.3173928,1.2340186,0.7357616,-0.36695144,-1.210859,0.24778023,-1.1382433,-0.20591429,-0.5168843,0.30974874,-1.1023979,-0.6741663,-0.38430157,-0.32893214,0.4200513,1.9420409,0.5490005,0.23933443,0.2030125,0.82685655,-0.28352413,1.104852,0.08474344,0.55222803,0.52543074,-0.8444637,-1.5270425,-1.7564318,-0.5061168,0.7798217,-0.07792082,-0.7160282,0.6795434,0.41266057,0.85517,-0.0522224,-1.862461,-1.2225518,0.73095226,0.77988094,-1.129196,0.58621377,1.0939709,4289096700.0,18855471000.0,6267090400.0,55550660000.0,468345060.0,1927049900.0,782622340.0,160057600.0,1862.0669,362452770.0,705476.06,37932.305,2107518.2,997065900.0,0.28413558
0.35058886,0.5367147,-0.10736978,0.6902233,0.43873543,0.64994556,1.6054937,-0.6742519,1.3173935,1.2334797,0.7357619,-0.36695138,-1.2108586,0.24778062,-1.1382428,-0.20591365,-0.51688385,0.3097491,-1.1023977,-0.6741659,-0.3843012,-0.32893148,0.42005187,1.9420415,0.5490008,0.23933466,0.20301268,0.8268569,-0.28352323,1.1048522,0.08474384,0.5522283,0.5254308,-0.84446335,-1.5270417,-1.7564313,-0.5061157,0.7798221,-0.07792022,-0.7160275,0.6795439,0.41266087,0.8551702,-0.052222237,-1.8624604,-1.2225513,0.73095244,0.7798812,-1.1291957,0.58621466,1.094213,4290781700.0,18848752000.0,6265512400.0,55542840000.0,468363000.0,1926152000.0,782380100.0,160107650.0,1862.4187,362515940.0,705671.1,37932.63,2107521.0,997680900.0,0.28434083
0.3505892,0.5367148,-0.107369564,0.6902238,0.43873587,0.64994574,1.6054941,-0.6742515,1.3173941,1.2329239,0.7357622,-0.3669513,-1.2108582,0.24778102,-1.1382425,-0.20591299,-0.5168833,0.30974945,-1.1023974,-0.6741654,-0.38430077,-0.3289308,0.4200525,1.9420422,0.54900116,0.23933488,0.20301287,0.8268574,-0.28352234,1.1048524,0.08474426,0.5522285,0.5254309,-0.84446305,-1.5270406,-1.7564309,-0.5061145,0.7798225,-0.07791961,-0.7160268,0.67954445,0.41266116,0.8551704,-0.052222073,-1.8624597,-1.2225509,0.7309527,0.77988136,-1.1291953,0.58621556,1.0944626,4292519000.0,18841833000.0,6263887400.0,55534817000.0,468381340.0,1925227400.0,782130560.0,160159310.0,1862.782,362581700.0,705872.5,37932.965,2107523.8,998313700.0,0.2845526
0.3505895,0.536715,-0.10736934,0.69022435,0.43873635,0.64994586,1.6054946,-0.674251,1.3173949,1.232362,0.7357624,-0.36695123,-1.2108579,0.24778144,-1.138242,-0.20591234,-0.5168828,0.3097498,-1.1023972,-0.674165,-0.38430035,-0.32893008,0.4200531,1.9420428,0.5490015,0.23933512,0.20301306,0.8268578,-0.28352144,1.1048528,0.08474468,0.55222875,0.525431,-0.8444627,-1.5270396,-1.7564304,-0.50611335,0.77982295,-0.07791899,-0.71602607,0.679545,0.4126615,0.8551706,-0.0522219,-1.8624591,-1.2225503,0.7309529,0.7798816,-1.1291951,0.58621645,1.0947151,4294275000.0,18834858000.0,6262249000.0,55526728000.0,468400160.0,1924294500.0,781879040.0,160211360.0,1863.1476,362647700.0,706076.25,37933.3,2107526.5,998953500.0,0.28476655
0.35058984,0.5367151,-0.10736912,0.6902249,0.43873683,0.649946,1.6054951,-0.6742506,1.3173956,1.2317926,0.7357627,-0.36695114,-1.2108574,0.24778184,-1.1382415,-0.20591167,-0.51688224,0.3097502,-1.102397,-0.67416453,-0.38429993,-0.3289294,0.42005372,1.9420435,0.5490019,0.23933536,0.20301326,0.8268582,-0.28352052,1.104853,0.0847451,0.552229,0.5254311,-0.84446234,-1.5270387,-1.7564298,-0.50611216,0.77982336,-0.07791836,-0.7160253,0.6795456,0.4126618,0.85517085,-0.052221734,-1.8624583,-1.2225498,0.7309531,0.7798818,-1.1291947,0.58621734,1.0949711,4296052700.0,18827799000.0,6260593000.0,55518536000.0,468418900.0,1923350800.0,781624500.0,160264060.0,1863.5186,362714430.0,706283.0,37933.645,2107529.2,999599940.0,0.2849831
0.35059017,0.5367152,-0.107368894,0.6902254,0.4387373,0.64994615,1.6054956,-0.6742502,1.3173963,1.231217,0.735763,-0.36695108,-1.210857,0.24778226,-1.1382412,-0.20591098,-0.51688176,0.3097506,-1.1023967,-0.67416406,-0.38429952,-0.32892868,0.42005435,1.9420443,0.54900223,0.2393356,0.20301345,0.82685864,-0.2835196,1.1048534,0.084745534,0.5522292,0.5254312,-0.844462,-1.5270376,-1.7564293,-0.5061109,0.7798238,-0.077917725,-0.7160245,0.6795461,0.41266212,0.855171,-0.05222156,-1.8624578,-1.2225492,0.73095334,0.779882,-1.1291944,0.5862183,1.0952302,4297841000.0,18820670000.0,6258920400.0,55510266000.0,468438050.0,1922398100.0,781367600.0,160317230.0,1863.8917,362781700.0,706492.2,37933.99,2107532.2,1000253440.0,0.2852023
0.35059053,0.5367154,-0.10736866,0.69022596,0.4387378,0.6499463,1.605496,-0.67424977,1.317397,1.2306334,0.7357633,-0.366951,-1.2108566,0.24778269,-1.1382407,-0.2059103,-0.51688117,0.30975094,-1.1023965,-0.6741636,-0.3842991,-0.32892796,0.42005497,1.942045,0.5490026,0.23933583,0.20301366,0.8268591,-0.28351867,1.1048536,0.084745966,0.55222946,0.5254313,-0.8444616,-1.5270367,-1.7564288,-0.5061097,0.7798242,-0.077917084,-0.71602374,0.6795467,0.41266245,0.85517126,-0.052221384,-1.862457,-1.2225487,0.7309536,0.77988225,-1.129194,0.58621925,1.095493,4299652000.0,18813465000.0,6257230000.0,55501914000.0,468457380.0,1921434600.0,781108300.0,160371060.0,1864.2705,362850050.0,706704.56,37934.344,2107535.0,1000914240.0,0.28542447
0.35059085,0.5367155,-0.10736843,0.6902265,0.4387383,0.6499464,1.6054965,-0.6742493,1.3173977,1.2300428,0.7357636,-0.3669509,-1.2108562,0.24778311,-1.1382402,-0.2059096,-0.51688063,0.30975136,-1.1023962,-0.6741631,-0.38429868,-0.32892722,0.42005563,1.9420457,0.549003,0.23933609,0.20301385,0.82685953,-0.28351772,1.104854,0.08474641,0.55222976,0.5254314,-0.84446126,-1.5270356,-1.7564284,-0.50610846,0.7798246,-0.077916436,-0.71602297,0.67954725,0.41266277,0.85517144,-0.05222121,-1.8624563,-1.2225481,0.7309538,0.77988243,-1.1291937,0.5862202,1.0957592,4301483000.0,18806184000.0,6255524000.0,55493485000.0,468476700.0,1920461300.0,780846140.0,160425490.0,1864.6526,362918800.0,706919.56,37934.7,2107538.0,1001582900.0,0.28564948
0.3505912,0.5367156,-0.1073682,0.69022703,0.4387388,0.6499466,1.605497,-0.6742488,1.3173985,1.2294456,0.7357639,-0.36695084,-1.2108558,0.24778354,-1.1382397,-0.2059089,-0.5168801,0.30975175,-1.1023959,-0.6741626,-0.38429824,-0.3289265,0.42005628,1.9420464,0.54900336,0.23933633,0.20301406,0.82686,-0.28351676,1.1048543,0.08474685,0.55223,0.5254315,-0.8444609,-1.5270346,-1.7564278,-0.5061072,0.7798251,-0.07791578,-0.7160222,0.67954785,0.4126631,0.8551717,-0.052221026,-1.8624556,-1.2225475,0.73095405,0.77988267,-1.1291933,0.58622116,1.0960286,4303335000.0,18798830000.0,6253800400.0,55484965000.0,468496420.0,1919478100.0,780581950.0,160480290.0,1865.0385,362988450.0,707137.44,37935.06,2107541.0,1002257340.0,0.28587666
