0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,relative_runtime
2.17628,0.87814784,-1.8164239,0.15912324,1.1882126,0.5930539,1.190987,2.0247161,-0.9077929,-0.11278892,1.3369746,1.4810418,-0.047220957,0.017787449,-0.9157397,0.4671965,-0.2790425,0.48213348,-0.5249404,0.05919539,-0.3896246,3.0960011,-0.8238714,0.9223417,-0.5915972,0.6745896,1.1594316,0.13663942,0.25327587,0.8123946,1.3034998,0.31293938,0.2439932,0.58538985,1.9437855,-0.33903304,-1.5600116,2.030205,-1.7911799,0.35139433,1.7575992,0.5431766,0.17996965,0.15909538,-1.2653645,-1.702834,0.49304602,-0.25859755,-0.10332619,-2.1062906,1.0068384,799756.7,2430255.8,980705.56,16819200.0,575.61957,0.23273957,0.0055849706,0.0013741624,2.4058866e-06,2141072.2,3779.014,29284.883,10857.308,4.0991893,0.06730792
2.1591802,0.8647634,-1.8163817,0.15944692,1.1750249,0.59310174,1.1910005,2.0201957,-0.9132792,-0.11274031,1.3372135,1.4812403,-0.047159534,0.017820954,-0.91563743,0.46743384,-0.2819662,0.4821556,-0.52505404,0.059374977,-0.38960353,3.0798545,-0.8238436,0.904234,-0.59157604,0.6746194,1.1595,0.13675378,0.24113266,0.78949255,1.3036345,0.31277868,0.24403389,0.5684043,1.9439291,-0.33873028,-1.5611918,2.0302458,-1.795365,0.33867288,1.7577348,0.54291165,0.17554359,0.15910657,-1.2649946,-1.7027249,0.49313128,-0.25845855,-0.103288986,-2.1062586,1.0072659,782996.2,2390395.0,1044899.1,15911488.0,553.67053,0.22042587,0.006014085,0.0014370455,2.5772183e-06,2125854.2,3828.1511,30103.37,10857.216,4.5617356,0.07530236
2.1406956,0.84991974,-1.816337,0.15979439,1.1613952,0.5931523,1.1910146,2.0149841,-0.9189268,-0.11268864,1.3374709,1.4814513,-0.047092494,0.017857654,-0.9155257,0.46768868,-0.28492063,0.48217896,-0.5251725,0.05956711,-0.389579,3.0628886,-0.8238144,0.88524896,-0.59155333,0.67465085,1.1595739,0.13687861,0.22850887,0.7648822,1.30378,0.31261438,0.24407734,0.5505047,1.9440823,-0.33840275,-1.5623857,2.030289,-1.7996142,0.32654855,1.7578815,0.54264075,0.17040883,0.15911847,-1.264595,-1.7026033,0.4932228,-0.25830245,-0.10324965,-2.1062233,1.0077416,765835.1,2349369.2,1116079.2,15009359.0,531.6101,0.20805512,0.006497947,0.001505889,2.7694905e-06,2108667.5,3884.3733,30976.113,10857.118,5.10142,0.08522299
2.1235063,0.83568066,-1.8162868,0.1601435,1.1489762,0.59320533,1.1910304,2.0097215,-0.92373055,-0.11263818,1.3377193,1.4816574,-0.0470284,0.017892271,-0.9154238,0.46791527,-0.2874149,0.4822084,-0.52524924,0.05975311,-0.38955376,3.047781,-0.8237802,0.8674925,-0.5915298,0.67468655,1.1596386,0.13699828,0.21659471,0.7424197,1.3039119,0.3124996,0.24411556,0.5340207,1.9442374,-0.33808106,-1.5633014,2.030337,-1.8032258,0.31678048,1.7580235,0.5424391,0.16518478,0.15912934,-1.2641971,-1.7024848,0.49331853,-0.25815132,-0.103208095,-2.1061878,1.0082167,750351.94,2310546.8,1184947.5,14241229.0,513.6957,0.19745271,0.0069788247,0.0015721779,2.966424e-06,2091849.2,3942.8496,31770.053,10857.033,5.665136,0.09535873
2.106902,0.8215764,-1.8162098,0.16053492,1.1371455,0.5932711,1.1910516,2.004162,-0.92794603,-0.112575024,1.338006,1.4819047,-0.046959147,0.017930297,-0.9153115,0.46815085,-0.28954795,0.48224923,-0.5251277,0.05995235,-0.389525,3.0335767,-0.823741,0.8501526,-0.59149694,0.6747306,1.1597041,0.13712019,0.20441346,0.72328573,1.3040504,0.3124194,0.2441591,0.5175914,1.9444386,-0.3377236,-1.5641184,2.0303955,-1.8065566,0.30960917,1.7581761,0.54230434,0.15968876,0.15914074,-1.2637157,-1.7023572,0.49343333,-0.2579797,-0.10315451,-2.1061463,1.0087972,736003.6,2274260.2,1259283.5,13614324.0,501.07755,0.18873551,0.0075072446,0.0016473414,3.2146802e-06,2075473.2,4011.936,32608.594,10856.959,6.336664,0.105024785
2.0873919,0.80458564,-1.8161188,0.1609986,1.1237683,0.5933476,1.1910765,1.9971616,-0.9327207,-0.11250094,1.3383467,1.4821948,-0.04687596,0.01797613,-0.9151767,0.46842843,-0.2919272,0.48229703,-0.5249874,0.060186926,-0.38948804,3.017282,-0.82369554,0.83034676,-0.591458,0.6747821,1.1597816,0.1372663,0.19056703,0.7010617,1.3042147,0.31232843,0.24421023,0.49871245,1.9446765,-0.33729723,-1.5650321,2.0304635,-1.8102782,0.30198273,1.7583578,0.54215145,0.15273283,0.15915406,-1.2631401,-1.7022007,0.49356982,-0.25776723,-0.10309196,-2.1060953,1.0095146,719852.25,2233256.5,1349725.4,12925395.0,486.96365,0.17909013,0.008163419,0.0017381186,3.5255807e-06,2055372.6,4099.759,33589.367,10856.873,7.2068815,0.11637953
2.0663714,0.78576976,-1.8160197,0.16150448,1.1099316,0.5934295,1.1911036,1.989009,-0.93767303,-0.11242095,1.3387198,1.4825077,-0.046783805,0.018027104,-0.91502744,0.46872965,-0.2943537,0.48234853,-0.5248388,0.06044123,-0.389444,3.0001664,-0.82364684,0.80965805,-0.5914154,0.67483747,1.159866,0.1374277,0.17616017,0.6774305,1.3043942,0.3122339,0.24426547,0.47885987,1.9449357,-0.33682847,-1.5659667,2.0305367,-1.8140814,0.2946055,1.7585572,0.5419926,0.14458625,0.15916842,-1.2625059,-1.7020235,0.4937194,-0.2575239,-0.10302477,-2.1060376,1.0103347,703213.7,2190809.0,1451186.2,12233717.0,472.52393,0.16934088,0.008917198,0.0018392956,3.886264e-06,2032608.6,4203.291,34644.168,10856.778,8.254593,0.12854677
2.0609152,0.7807979,-1.815993,0.16163975,1.1064762,0.59345186,1.191111,1.986768,-0.93889093,-0.11239947,1.3388197,1.4825914,-0.04675904,0.018040882,-0.9149872,0.4688102,-0.29494026,0.48236248,-0.52480054,0.06050919,-0.38943154,2.9958253,-0.8236336,0.8044006,-0.5914039,0.67485255,1.1598886,0.13747124,0.17253621,0.67129636,1.3044426,0.3122105,0.24428022,0.47383708,1.9450054,-0.33670244,-1.5661863,2.0305564,-1.8150083,0.29281944,1.758611,0.54195315,0.14233379,0.15917234,-1.2623363,-1.7019751,0.4937597,-0.25745657,-0.10300668,-2.1060216,1.0105592,699178.1,2180322.5,1478230.6,12061616.0,469.03918,0.16690272,0.009123995,0.001866648,3.9871143e-06,2026445.1,4232.199,34923.906,10856.753,8.551224,0.13170752
2.0471234,0.7680704,-1.815925,0.1619845,1.0978923,0.59350824,1.1911298,1.9808875,-0.9419232,-0.11234496,1.3390746,1.4828037,-0.046695452,0.018076314,-0.914884,0.46901503,-0.29639003,0.4823978,-0.5247042,0.060681865,-0.38939843,2.9849703,-0.8236001,0.7912978,-0.5913745,0.6748907,1.1599462,0.1375829,0.1635093,0.6558929,1.3045664,0.31215218,0.24431765,0.46127644,1.9451828,-0.3363801,-1.56673,2.0306067,-1.8173006,0.28851712,1.7587485,0.54185474,0.13640772,0.15918225,-1.2619019,-1.7018496,0.4938626,-0.25728095,-0.10296092,-2.1059806,1.0111438,689159.0,2154218.5,1547985.4,11639701.0,460.40955,0.16091004,0.009663935,0.0019370744,4.251775e-06,2010479.5,4308.612,35631.77,10856.687,9.343093,0.14114422
2.0395942,0.76102513,-1.8158875,0.16217455,1.0932931,0.59353906,1.19114,1.977542,-0.94355273,-0.11231506,1.3392154,1.48292,-0.04666012,0.01809604,-0.9148266,0.46912763,-0.29716277,0.48241717,-0.524652,0.060776755,-0.38937932,2.979113,-0.8235818,0.78425497,-0.5913583,0.6749116,1.1599779,0.13764487,0.15865873,0.64754677,1.3046347,0.31212083,0.2443382,0.45449924,1.9452806,-0.3362017,-1.5670204,2.0306344,-1.8185233,0.28628972,1.7588247,0.5418018,0.1330267,0.15918767,-1.2616612,-1.7017791,0.4939195,-0.25718167,-0.10293591,-2.1059573,1.011474,683789.2,2140204.8,1586932.9,11416879.0,455.80142,0.15773685,0.009969526,0.0019763308,4.402427e-06,2001523.9,4352.4434,36018.86,10856.65,9.802273,0.14644626
