0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,relative_runtime
-0.2731186,0.94528955,-0.46797144,-0.11648547,1.1439122,-0.06942109,0.6601503,-0.9913105,0.034176465,-1.053478,-0.22433,-0.14249331,0.5773459,-0.887346,-0.7368575,1.3998376,0.16108304,1.4333862,0.16824073,-0.1334659,0.10739919,-0.36968338,0.4487882,-0.22819366,-0.9959825,-0.514197,1.4039466,-3.2039797,-0.6135768,-0.05463301,0.1678421,-0.41939017,-0.14668378,0.44867003,-0.4251528,-1.3708341,0.023020446,1.2045873,0.5852203,-0.30183002,0.029339677,-1.2509978,0.5021803,-0.91664094,0.07486087,-1.0899795,0.6857617,0.95452476,-0.4657718,0.12339205,31.996521,314172300.0,1086398700.0,552293700.0,4880427000.0,77802.64,126677.9,534.19385,8295.864,1204.7716,49671864.0,169469780.0,69909.56,2106111.2,112369860.0,1.119283
-0.27311793,0.94529164,-0.4679692,-0.11648505,1.1439143,-0.069419086,0.6600725,-0.9913084,0.034177583,-1.0537645,-0.22432837,-0.14249083,0.5773458,-0.8873501,-0.73799074,1.3993145,0.16108504,1.4333901,0.16824193,-0.13346392,0.107402086,-0.36968327,0.44734895,-0.2282238,-0.99597985,-0.5141964,1.403948,-3.203978,-0.6136667,-0.054631095,0.1678409,-0.41938898,-0.14668235,0.44727287,-0.4251568,-1.370831,0.023021545,1.2045225,0.5852216,-0.3018292,0.029342843,-1.2509956,0.5021801,-0.91671664,0.07486132,-1.0899768,0.68556625,0.9545259,-0.46577,0.12339542,31.996485,313433000.0,1084245100.0,550941440.0,4869380000.0,77838.67,126799.96,536.38464,8313.886,1204.7667,49667170.0,169175920.0,69909.53,2106110.2,112210260.0,1.12009
-0.27311718,0.945294,-0.46796668,-0.11648458,1.1439167,-0.06941681,0.6599849,-0.991306,0.03417885,-1.0540869,-0.2243265,-0.14248802,0.5773457,-0.8873547,-0.7392685,1.3987253,0.16108729,1.4333947,0.16824329,-0.13346167,0.107405365,-0.36968315,0.44572413,-0.22825791,-0.99597687,-0.51419574,1.4039494,-3.2039762,-0.61376816,-0.054628927,0.16783951,-0.41938764,-0.14668074,0.44569752,-0.42516136,-1.3708274,0.023022791,1.2044494,0.585223,-0.30182824,0.029346436,-1.2509931,0.50218,-0.916802,0.07486183,-1.0899736,0.6853462,0.95452714,-0.46576798,0.12339924,31.996445,312598980.0,1081815200.0,549414400.0,4856921000.0,77879.31,126938.45,538.868,8334.303,1204.7612,49661844.0,168844290.0,69909.484,2106109.2,112029890.0,1.1209989
-0.27311644,0.94529635,-0.46796417,-0.11648412,1.1439192,-0.06941457,0.6598988,-0.9913037,0.0341801,-1.0544033,-0.22432467,-0.14248525,0.57734567,-0.88735914,-0.74052423,1.3981465,0.16108952,1.4333991,0.16824463,-0.13345943,0.10740861,-0.369683,0.44412452,-0.22829145,-0.9959739,-0.51419514,1.4039509,-3.2039745,-0.61386776,-0.05462679,0.16783816,-0.41938633,-0.14667913,0.44414884,-0.4251658,-1.370824,0.02302402,1.2043774,0.58522445,-0.30182728,0.029349979,-1.2509907,0.5021798,-0.91688585,0.07486233,-1.0899705,0.6851302,0.95452845,-0.46576595,0.12340301,31.996407,311779650.0,1079423600.0,547913400.0,4844648400.0,77919.086,127074.18,541.3251,8354.465,1204.7556,49656730.0,168518670.0,69909.44,2106108.2,111852450.0,1.121949
-0.27311572,0.9452987,-0.46796167,-0.11648365,1.1439215,-0.06941234,0.65981376,-0.99130136,0.034181338,-1.0547158,-0.2243229,-0.14248247,0.57734555,-0.8873637,-0.7417603,1.3975753,0.16109173,1.4334036,0.16824596,-0.13345726,0.107411854,-0.36968294,0.44253308,-0.22832523,-0.99597096,-0.5141945,1.4039524,-3.2039726,-0.6139655,-0.054624695,0.16783679,-0.41938502,-0.1466776,0.44261596,-0.42517018,-1.3708205,0.02302524,1.2043065,0.5852258,-0.30182636,0.029353457,-1.2509884,0.50217956,-0.9169679,0.07486282,-1.0899674,0.68491733,0.95452964,-0.46576396,0.12340672,31.996367,310981380.0,1077050400.0,546445400.0,4832495600.0,77956.4,127204.98,543.753,8374.616,1204.7502,49653450.0,168204140.0,69909.4,2106107.0,111678850.0,1.1230025
-0.273115,0.945301,-0.46795923,-0.11648319,1.1439239,-0.069410145,0.65973043,-0.9912991,0.034182563,-1.055022,-0.22432114,-0.14247975,0.57734543,-0.8873681,-0.74297357,1.3970152,0.1610939,1.4334079,0.16824727,-0.1334551,0.10741505,-0.36968285,0.44096956,-0.22835833,-0.9959681,-0.51419395,1.4039537,-3.203971,-0.6140614,-0.05462263,0.16783546,-0.41938373,-0.14667606,0.44111165,-0.42517447,-1.3708171,0.023026444,1.2042367,0.5852272,-0.30182543,0.029356888,-1.2509861,0.5021793,-0.91704845,0.07486331,-1.0899643,0.6847088,0.95453084,-0.46576196,0.12341039,31.996326,310197150.0,1074721200.0,545003100.0,4820560000.0,77992.83,127333.61,546.1485,8394.468,1204.7448,49650296.0,167895060.0,69909.35,2106106.0,111508130.0,1.1240358
-0.2731142,0.9453036,-0.4679564,-0.11648266,1.1439265,-0.069407634,0.6596355,-0.99129647,0.034183964,-1.0553705,-0.22431913,-0.1424766,0.5773453,-0.88737315,-0.7443565,1.3963774,0.1610964,1.4334129,0.16824876,-0.13345262,0.107418716,-0.36968276,0.43918532,-0.22839613,-0.9959648,-0.51419324,1.4039553,-3.2039688,-0.61417073,-0.054620266,0.16783394,-0.41938224,-0.14667432,0.43939644,-0.4251794,-1.3708131,0.02302782,1.2041572,0.58522874,-0.3018244,0.029360823,-1.2509834,0.502179,-0.91714025,0.074863866,-1.0899607,0.6844714,0.95453227,-0.4657597,0.12341459,31.99628,309303100.0,1072062900.0,543356700.0,4806935600.0,78034.7,127481.234,548.9009,8417.229,1204.7383,49646656.0,167541970.0,69909.305,2106104.8,111313140.0,1.1252124
-0.27311322,0.9453068,-0.46795303,-0.116482034,1.1439296,-0.06940462,0.6595227,-0.9912934,0.03418564,-1.0557842,-0.22431673,-0.14247285,0.57734513,-0.88737917,-0.74600226,1.3956199,0.16109939,1.433419,0.16825056,-0.13344967,0.10742311,-0.36968264,0.43706015,-0.22844106,-0.9959609,-0.51419246,1.4039572,-3.2039664,-0.61430067,-0.05461744,0.16783212,-0.41938046,-0.14667222,0.43735692,-0.42518523,-1.3708084,0.023029463,1.2040628,0.58523065,-0.30182314,0.029365536,-1.2509801,0.50217867,-0.9172495,0.07486453,-1.0899565,0.68418956,0.95453393,-0.46575695,0.12341962,31.996225,308238000.0,1068897800.0,541395200.0,4790714000.0,78084.56,127656.78,552.2055,8444.452,1204.7306,49642450.0,167121500.0,69909.25,2106103.2,111080540.0,1.1266096
-0.27311206,0.9453105,-0.46794906,-0.1164813,1.1439334,-0.069401085,0.65939176,-0.99128973,0.034187607,-1.056264,-0.22431393,-0.14246844,0.57734495,-0.8873862,-0.74791527,1.3947408,0.16110289,1.4334259,0.16825266,-0.1334462,0.10742826,-0.36968252,0.4345865,-0.2284933,-0.99595624,-0.5141915,1.4039595,-3.2039638,-0.6144517,-0.054614127,0.16783,-0.41937837,-0.14666978,0.43498617,-0.42519203,-1.3708029,0.023031386,1.203953,0.58523285,-0.30182165,0.029371055,-1.2509763,0.5021783,-0.91737634,0.07486531,-1.0899515,0.6838625,0.95453584,-0.46575376,0.12342551,31.996159,306999500.0,1065216400.0,539111000.0,4771815400.0,78142.65,127862.75,556.0848,8476.32,1204.7213,49637250.0,166631680.0,69909.18,2106101.5,110809310.0,1.1282303
-0.2731108,0.9453146,-0.46794468,-0.116480485,1.1439375,-0.06939718,0.6592488,-0.99128574,0.03418978,-1.0567873,-0.22431085,-0.14246358,0.5773448,-0.8873939,-0.75000674,1.3937815,0.16110677,1.4334337,0.16825497,-0.13344239,0.10743394,-0.36968237,0.43187797,-0.22855046,-0.9959512,-0.5141905,1.4039619,-3.2039607,-0.6146168,-0.054610483,0.16782768,-0.41937605,-0.14666706,0.4323949,-0.4251995,-1.3707968,0.023033498,1.203833,0.58523524,-0.30182004,0.02937714,-1.2509722,0.50217783,-0.91751504,0.074866176,-1.089946,0.68350595,0.954538,-0.46575022,0.123432025,31.99609,305643740.0,1061184400.0,536607970.0,4751127600.0,78206.54,128089.03,560.3747,8511.47,1204.711,49631770.0,166094800.0,69909.11,2106099.5,110511750.0,1.129998
